course,code,description
Chine contemporaine B,HUM-323(a),"Introduction to contemporary China B is focusing on geopolitical position of China. We will discuss: 1.- the control of what China sees as its ""national space"" (Taiwan, Tibet, Xinjiang ‚øä); 2.- the invention of a foreign policy in a context of increasing tensions with the USSR; 3.- the emergence o"
Chine: la renaissance d'une grande puissance I,HUM-434(a),"The course objectives are:1. to get more familiar with China's internationalization process.2. to build a research question and realize an interview (1st semester).3. to write a reseach project on the topic (2nd semester)."
Chine: la renaissance d'une grande puissance II,HUM-434(b),"The course objectives are:1. to get more familiar with China's internationalization process.2. to build a research question and realize an interview (1st semester).3 to write a reseach project on the topic (2nd semester)."
Circuits and systems II,EE-205,"This class teaches the theory of linear time-invariant (LTI) systems. These systems serve both as models of physical reality (such as the wireless channel) and as engineered systems (such as electrical circuits, filters and control strategies)."
Circuits et systËmes Èlectroniques I,EE-331,"Student acquire skills in understanding, design and use of electronic circuits ans systems using discrete or integrated components."
Circuits et systËmes Èlectroniques II,EE-332,"Student acquire skills in understanding, design and use of electronic circuits ans systems using discrete or integrated components. Emphasis is put on applications in the field of telecommunications."
Circuits et systËmes I,EE-204,"This course provides an introduction to the theory and analysis methods of electrical circuits. "
Circuits intÈgrÈs I,EE-320,Introduction analog CMOS design. Understanding and design of basic building blocks.
Classical electrodynamics,PHYS-324,The goal of this course is the study of the physical consequences of Maxwell equations.
Cognitive psychology B,HUM-316,"Are our cognitive functions (e.g. perception, language) due to nature or nurture? While extreme positions are today less prevalent, the debate is ongoing. We will discuss empirical findings supporting either position, inviting students to critically assess and integrate various positions. "
CohÈrences aventureuses,AR-444,"Consistencies adventurous.The approach of the lectures is theoretical.The lectures deal with architectural problematics of the present state of architecture:About diagrams.About organic and texturic.About phenomenology.About architecture and icons.About landscape-architecture."
Combinatorial optimization,MATH-460,The guiding question of Combinatorial Optimization is: How do I efficiently select an optimal solution among a finite but very large set of alternatives? We will address the solution of this question in the context of classical discrete optimization problems. 
Commande d'actionneurs ‡ l'aide d'un microprocesseur + TP,MICRO-510,"The student will be able to design, make and program a complete motor/actuator drive. He will know how to apply motor control theory to real systems."
Commande de procÈdÈs,ME-323,Provide the students with basic notions and tools for the modeling and analysis of dynamic systems. Show them how to design controllers and analyze the performance of controlled systems.
Commande non linÈaire,ME-523,Nonlinear systems are analyzed with a view towards controller design. Emphasis is put on Lyapunov stability and nonlinear geometric control methods (exact feedback linearization). Various examples illustrate the theory (pencil/paper & computer simulations).
Commutative algebra,MATH-438,"Commutative algebra studies commutative rings and modulesover them, and is vital for a thorough foundation of number theory and algebraic geometry. The course gives an introduction to the subject, highlighting the geometric connections."
Comportement humain et sciences Èconomiques,HUM-277,The focus of this course is on the methods used in economics sciences to measure and study human behavior. The students understand and apply the empirical approach in economics sciences and become familiar with the concept of evidence-based management.
Comportement organisationnel A,HUM-346,The aim of the course is to understand human behavior and interpersonal relationships of people working in organizations.
Comportement organisationnel B,HUM-347,The course aims to deepen the understanding of how groups function in organizations. The main theories as well as concrete examples will be analyzed and discussed in class.
Composants semiconducteurs,MICRO-312,"The students understand and apply the physics of semiconductor devices like Schottky and pn diodes, bipolar transistors, JFET and MOS devices. They use such devices in basic electronic circuits, for example in a CMOS inverter or a voltage amplifier."
Composites polymËres + TP,MSE-340,"Mechanical and physical properties of anisotropic materials and calculation tools are presented. Constituents, processing techniques and structure-processing-properties relationships are given for different types of organic matrix composites. Applications in transport,sport and energy are discussed."
Composites technology,MSE-440,"The latest developments in processing and the novel generations of organic composites are discussed. Nanocomposites, adaptive composites and biocomposites are presented. Product development, cost analysis and study of new markets are practiced in team work."
Compound semiconductor electronic devices,EE-557,
Computational finance,MATH-472,Participants of this course will be exposed to computational techniques frequently used in mathematical finance applications. Emphasis will be put on the implementation and practical aspects.
Computational linear algebra,MATH-453,"This course provides an overview of state-of-the-art techniques for solving large-scale linear algebra problems, as they typically arise in applications. A central goal of this course is to give the ability to choose a suitable solver for a given application."
Computational methods in molecular quantum mechanics,CH-452,"This course will discuss the main methods for the simulation of quantum time dependent properties for molecular systems. Basic notions of density functional theory and of its time dependent version will be covered in the context of adiabatic and non adiabatic dynamics. "
Computational motor control,CS-432,"The course gives (1) a review of different types of numerical models of control of locomotion and movement in animals, (2) a presentation of different techniques for designing models, and (3) an analysis of the use and testing of those models in robotics and neuroprosthetics."
Computational Multiphase Thermal Fluid Dynamics,ETH-433,
Computational photography,CS-413,"The students will gain the theoretical knowledge in computational photography, which allows recording and processing a richer visual experience than traditional digital imaging. They will also execute practical group projects to develop their own computational photography application."
Computational physics III,PHYS-332,This course teaches the students practical skills needed for solving modern physics problems by means of computation. A number of examples illustrate the utility of numerical computations in various domains of physics.
Computational Social Media ,EE-727,"The course integrates concepts from media studies, machine learning, multimedia and network science to characterize social practices and analyze content in sites like Facebook, Twitter and YouTube. Students will learn computational methods to infer individual and networked phenomena in social media."
Computer-aided engineering,ME-417,"The course covers: Product life cycle, CAD systems, modelling, Data-structures and basic operations, CAD system operations, 2D interface, Data exchange, Geometry  curves, Geometry of surfaces, Non-manifold and special modelling, Features, process planning, manufacturing, Assemblies Graphics "
Computer architecture ,CS-208,"The course introduces the students to the basic notionsof computer architecture and, in particular, to thechoices of the Instruction Set Architecture and to thememory hierarchy of modern systems."
Computer language processing,CS-320,"We teach the fundamental aspects of analyzing and interpreting computer languages, including the techniques to build compilers. The new title is ""Computer Language Processing""."
Computer networks,COM-208,This course provides an introduction to computer networks. It describes the principles that underly modern network operation and illustrates them using the Internet as an example. 
Computer simulation of physical systems I,PHYS-403,The two main topics covered by this course are classical molecular dynamics and the Monte Carlo method.
Computer simulation of physical systems II,PHYS-404,"The course treats the model of diffusion limited aggregation, density functional theory and its applications, and the solution of the Schroedinger equation by variational and diffusion Monte Carlo."
Computer vision,CS-442,"Computer Vision aims at modeling the world from digital images acquired using video or infrared cameras, and other imaging sensors.We will focus on images acquired using digital cameras. We will introduce basic processing techniques and discuss their field of applicability."
Conception de mÈcanismes I,MICRO-200,"This two semester course develops the creative capabilities of the students in the field of mechanisms design in microengineering. The course focuses as well on the the knowledge (components, physical principles, dimensioning) as on the cognitive processes from which the act of design originates."
Conception de mÈcanismes II,MICRO-201,"This two semester course develops the creative capabilities of the students in the field of mechanisms design in microengineering. The course focuses on the the knowledge (components, physical principles, dimensioning) as well as on the cognitive processes from which the act of design originates."
Conception des ponts,CIVIL-330,"Introduction to the design of road bridges focused on steel-concrete composite and prestressed concrete road bridges. This course deals with the bridge design criteria, construction technique, the material and applications of the design principles to different situations."
Conception de systËmes numÈriques,CS-173,"The goal is to familiarize the students with the hardware components of computing systems, and to teach the modern methods of analysis and synthesis of combinational and sequential systems, with the assistance of high-level languages such as VHDL."
Conception de systËmes numÈriques pour EL,EE-334,"Students will acquire basic knowledge about methodologies and tools for the design, optimization, and verification of custom digital systems/hardware. They will learn how to translate a behavioral description written in the VHDL language into digital hardware and implement that hardware on FPGA."
Conception et dimensionnement des structures en bois,CIVIL-331,"This course will master the fundamental and practical aspects of the design of timber structures. It deals with beams, columns, assemblies, structural systems and stability problems."
Conception et gestion des systËmes de transport,CIVIL-350,Creating performing infrastructures for transport systems have to consider effects and impacts on environment and safety. Managing transport systems and considering maintenance and renewal work impact the choices of the civil engineer.
Conception interactive des formes structurales,AR-483,The class develops skills required to design architectural structures of adequate shape. The focus is placed on computerized and hand tools that support the early decisions on typology and geometry in order to reduce the required amount of building material.
Conception mÈcanique intÈgrÈe,ME-418,"The course objectives include the in-depth application of a scientific approach to design, the practice of a multi-disciplinary process, the practice of systems integration and the learning of typical values of design parameters."
Conception pour X,ME-312,"The goal of this course is to introduce to the student some basic concepts, methods and algorithms in computer aided product life-cycle engineering."
"Conception, simulation et informatique",PENS-202,"During this week, the LIV opens to present multidisciplinary projects that require HPC ( high power computing ) and visualization for projects in Architecture, Civil Engineering , Biology , Biotechnology, and Industrial Design."
Concepts in ecological engineering,ENV-422,"During this course students will learn the essential ecological concepts necessary to apply techniques of ecological engineering. While concepts are applicable worldwide, the outcome of ecological restoration depends on the local context; this transposition will be the scope of the semester project."
Concevoir des structures,AR-337,"Sensitize students to understand and to dimension innovative existing constructions under consideration of architectural and structural aspects.Deepen the technical understanding of selected build masterpieces. Fabricate physical models representing structural fragments and structural details. "
Concurrent algorithms,CS-453,"With the advent of multiprocessors, it becomes crucial to master the underlying algorithmics of concurrency. The objective of this course is to study the foundations of concurrent algorithms and in particular the techniques that enable the construction of robust such algorithms."
Confort et architecture: stratÈgies durables,AR-442,This class offers an overview about comfort evaluations in architectural design and suggests passive and low-energy strategies suited to ensure the highest possible indoor environment quality for buildings. 
Construction en bois,CIVIL-433,"make the students understand and dimension wood structures with innovative and interesting designs from an architectural and structural point of view. Deepen the technical knowledge through real case studies."
Construction et durabilitÈ I,AR-131,"Introduction to key construction and space definition elements: load-bearing structure, envelope, openings, equipment and facilities, related construction materials, as well as techniques and assembly methods of these elements in a coherent and sustainable construction as a whole."
Construction et durabilitÈ II,AR-132,"Introduction to key construction and space definition elements: load-bearing structure, envelope, openings, equipment and facilities, related construction materials, as well as techniques and assembly methods of these elements in a coherent and sustainable construction as a whole."
Construction et durabilitÈ III,AR-231,"Development of a set of constructive techniques and implementation solutions necessary for the realization of a design intention in an expressive architectural project, technically viable, efficient, according to the principles of sustainable construction."
Construction et durabilitÈ IV,AR-232,"Development of a set of constructive techniques and implementation solutions necessary for the realization of a design intention in an expressive architectural project, technically viable, efficient, according to the principles of sustainable construction."
Construction et durabilitÈ V,AR-331,"The course ""Construction and sustainability V+VI"" treats technical, construction and material aspects in relation with architectural concepts. Semester V focuses on specifications, coordination and integration of technical appliances in a building project."
Construction et durabilitÈ VI,AR-332,"The course ""Construction and sustainability V+VI"" treats technical, construction and material aspects in relation with architectural concepts. Semester VI focuses on envelope design within a global and sustainable building design process. "
Construction mÈcanique II (pour GM),ME-102,"This course aims to acquire the basic concepts allowing the creation of documents relating to mechanical engineering by classical pathway (drawing on paper) and electronically (using DAO software). Acquired concepts will enable to implement plans, within the standards"
Construction mÈcanique II (pour MT),ME-107,"This course aims to acquire the basic concepts allowing the creation of documents relating to mechanical engineering by classical pathway (drawing on paper) and electronically (using DAO software). Acquired concepts will enable to implement plans, within the standards"
Construction mÈcanique I (pour GM),ME-101,"This course aims to acquire the basic concepts allowing the creation of documents relating to mechanical engineering by classical pathway (drawing on paper) and electronically (using DAO software). Acquired concepts will enable to implement plans, within the standards"
Construction mÈcanique I (pour MT),ME-106,"This course aims to acquire the basic concepts allowing the creation of documents relating to mechanical engineering by classical pathway (drawing on paper) and electronically (using DAO software). Acquired concepts will enable to implement plans, within the standards"
Construire dans les zones ‡ radiations naturelles,PENS-302,"The teaching unit will focus on the analysis of the fate of a ""telluric"" non-point source pollutant of the natural environment, Radon, and its impact on the build environment, including potential prevention and remediation solutions, by coupling education and research on specific bad known aspects."
Control systems + TP,ME-321,Provides the students with basic notions and tools for the analysis and control of dynamic systems. Shows them how to design controllers and analyze the performance of controlled systems.
Conversion d'Ènergie,EE-360,The course aims at providing the elements related to the energy conversion with particular reference to the electricity production by means of conventional and renewable energy sources. The course illustrates the fundamental notions for the modeling of energy conversion systems.
Conversion ÈlectromÈcanique I,MICRO-213,The course covers the main methods for the analysis of electromechanical systems. A study of magnetic physical quantities is followed by the conversion of electrical energy into mechanical energy. The permanent magnet is studied macroscopically. The dynamic aspect of the system is seen at the end. 
Conversion ÈlectromÈcanique II,MICRO-313,"Students will be able to use the electromechanical specific methods, to analyse the external characteristics of the main electric motors and to chose a motor for an electric drive."
Conversion ÈlectromÈcanique TP,MICRO-314,The purpose of this teaching lab is to allow the student to assimilate de main laws and principle of electromechnical systems and to study the static and dynamic behavior of the main motors and drives.
Convexity,MATH-461,Convexity is fundamental concept in mathematics.  This course is an introduction to convexity and its ramifications in high-dimensional Geometry. 
Convex optimization and applications,CS-454,"Optimization is not only a major segment of applied mathematics, it is also a critical problem in many engineering and economic fields. In any situation where resources are limited, decision makers try to solve problems they face in the best possible manner. The course provides theory and practice."
CoopÈration et dÈveloppement,HUM-355,"This course will examine the main challenges faced by emerging and developing countries. Students will concentrate on concrete development projects focusing on poverty alleviation, urban and rural development, social entrepreneurship and essential technologies."
Coordination chemistry,CH-222,Fundamental knowledge of coordination compounds. Molecular symmetry and basic group theory.
Coordination chemistry and reactivity of f elements,CH-427,"The course will provide a synopsis of the chemistry of f elements (lanthanides and actinides) covering structure, bonding, redox and spectroscopic properties and reactivity. The  coordination and organometallic chemistry of these ions will be discussed with an overview of their main applications."
Corporate governance,MGT-552,"This course will introduce the participants to the question of how firms are and should be governed. It will also highlight the evolution of such ""corporate governance"" over time."
Corporate strategy,MGT-400,"Why are some firms more successful than others?This is the fundamental question of strategy. A key concern of managers is the complex and uncertain relationship between the firm, its strategy, its performance and its environment. You study competition from the perspective of top management."
Corrosion et protection des mÈtaux + TP,MSE-311,"This introductory  corrosion course aims at familiarizing the student with the mechanisms of corrosion, with various forms of corrosion and with the principles of protection against corrosion."
Cours ETHZ,,
Cours ETHZ,,
Cours ETHZ 1,,
Cours ETHZ 1,,
"Cours Euler, AlgËbre linÈaire I",,
"Cours Euler, AlgËbre linÈaire II",,
"Cours Euler, Analyse Gymnase",,
"Cours Euler, Analyse I",,
"Cours Euler, Analyse II",,
"Cours Euler, Chimie gÈnÈrale",,
"Cours Euler, GÈomÈtrie II",,
"Cours Euler, MathÈmatiques I",,
"Cours Euler, MathÈmatiques I",,
"Cours Euler, MathÈmatiques II",,
"Cours Euler, MathÈmatiques II",,
"Cours Euler, MathÈmatiques III",,
"Cours Euler, MathÈmatiques III",,
"Cours Euler, Physique gÈnÈrale I",,
"Cours Euler, Physique gÈnÈrale II",,
Cours Institut National Polytechnique de Grenoble,,
Cours Politecnico di Torino,,
Cours UNI Fribourg,,
Cours UNI Fribourg,,
Cours UNI GenËve,,
Cours UNI GenËve,,
Cours UNIL - FacultÈ de biologie et de mÈdecine I (automne),,
Cours UNIL - FacultÈ de biologie et de mÈdecine II (automne),,
Cours UNIL - FacultÈ de biologie et de mÈdecine II (printemps),,
Cours UNIL - FacultÈ de biologie et de mÈdecine I (printemps),,
Cours UNIL - FacultÈ de droit et des sciences criminelles I (automne),,
Cours UNIL - FacultÈ de droit et des sciences criminelles II (automne),,
Cours UNIL - FacultÈ de droit et des sciences criminelles II (printemps),,
Cours UNIL - FacultÈ de droit et des sciences criminelles I (printemps),,
Cours UNIL - FacultÈ des gÈosciences et de l'environnement GSE I (automne),,
Cours UNIL - FacultÈ des gÈosciences et de l'environnement GSE II (automne),,
Cours UNIL - FacultÈ des gÈosciences et de l'environnement GSE II (printemps),,
Cours UNIL - FacultÈ des gÈosciences et de l'environnement GSE I (printemps),,
Cours UNIL - FacultÈ des hautes Ètudes commerciales HEC I (automne),,
Cours UNIL - FacultÈ des hautes Ètudes commerciales HEC II (automne),,
Cours UNIL - FacultÈ des hautes Ètudes commerciales HEC II (printemps),,
Cours UNIL - FacultÈ des hautes Ètudes commerciales HEC I (printemps),,
Cours UNIL - FacultÈ des lettres I (automne),,
Cours UNIL - FacultÈ des lettres II (printemps),,
Cours UNIL - FacultÈ des sciences sociales et politiques SSP I (automne),,
Cours UNIL - FacultÈ des sciences sociales et politiques SSP II (automne),,
Cours UNIL - FacultÈ des sciences sociales et politiques SSP II (printemps),,
Cours UNIL - FacultÈ des sciences sociales et politiques SSP I (printemps),,
Cours UNI Neuch‚tel,,
Cours UNI Neuch‚tel,,
Credit risk,FIN-504,"The course covers credit risk models as well as institutional features of credit derivative markets. The course covers single-name credit risk, as well as models of credit correlation and portfolio credit risk. The recent crisis and the current regulatory changes will also be discussed."
Croissance et dÈveloppement durable,HUM-308,"This course examines growth from various angles: population growth, economic growth, growth in the use of resources, growing inequality, need for growth, limits to growth, sustainable growth."
Cryptography and security,COM-401,"This course introduces the basics of cryptography. We review several types of cryptographic primitives, when it is safe to use them and how to select the appropriate security parameters. We detail how they work and sketch how they can be implemented."
Crystallography and diffraction methods,MSE-202,"Diffraction methods are widely used to investigate the crystallography and microstructural properties of materials. This course intends to give an introduction to crystallography, the basics of diffraction and diffraction methods. "
Culture mÈdiatique I,HUM-404(a),This course provides theoretical and methodological foundations for a sociological approach of media (particularly sports media). It helps students to think critically the media culture and its effects.
Culture mÈdiatique II,HUM-404(b),This course provides theoretical and methodological foundations for a sociological approach of media (particularly sports media). It helps students to think critically the media culture and its effects.
Data analysis and model classification,EE-516,"This course introduces several machine learning techniques for the data analysis and classification in Bioengineering applications. Following an application-oriented approach, each technique is illustrated with examples from fields such as neural engineering, movement analysis and bioinformatics."
Database systems,CS-422,"This course is intended for students who want to understand modern large-scale data analysis systems and database systems. It covers a wide range of topics and technologies, and will prepare students to be able to build such systems as well as read and understand recent research publications."
Data converter circuits and systems,EE-533,"The main focus of this work is on analysis and design of data converter circuits. Data converters are key building blocks in almost all modern products and have a very wide application in automotive industry, watches, mobile phones, computing systems, sensor network, biomedical system, etc."
Data corpora,DH-401,
Data science for business,MGT-432,Students will learn core concepts from the field of Data Science that managers can use to make better business decisions. Students will also learn how to apply those concepts to real programming problems.
Decision-aid methodologies in transportation,CIVIL-557,Introduction to demand models and operations research algorithms for decision support. 
Decommissioning of nuclear power plants,ETH-533,Characterization and survey prior to dismantling. Technologies for segmentation and dismantling. Decontamination and remediation. Materials and wast management. Site characterization and environmental monitoring.
DÈformations des matÈriaux,MSE-310,"Introduction to deformation mechanisms in inorganic materials: elasticity, plasticity and creep."
De la structure ‡ l'ornement,AR-521,Theory and history of the relations between architecture and construction from the mid-18th century to the present.
Derivatives,FIN-404,"The objective of this course is to provide a detailed coverage of the standard models for the valuation and hedging of derivatives products such as European options, American options, forward contracts, futures contract and exotic options."
Design de SIG,ENV-547,"This lecture is about development of GIS tools and focusses on the methodological approach, the technological and institutional environment, the conceptual design and the implementation. The setup of a Web GIS project throughout the semester is used to explore and test the theoretical concepts."
Design graphique I,HUM-205,"The course consists in practical teaching that allows to acquire the bases of graphic design and to understand the stakes, the various fields of application, the techniques and the conventions of that discipline."
Design graphique II,HUM-224,"The course offers a practical teaching that allows to acquire the bases of graphic design and to understand the stakes, the various fields of application, the techniques and the conventions of that discipline."
Design graphique III,HUM-305,"Practical teaching that allows to acquire the bases of graphic design and to understand the stakes, the various fields of application, the techniques and the conventions of that discipline."
Design graphique IV,HUM-326,"Practical teaching that allows to acquire the bases of graphic design and to understand the stakes, the various fields of application, the techniques and the conventions of that discipline."
Design graphique V,HUM-407(a),"This course offers practical teaching that allows to acquire the bases of graphic design and to understand the stakes, the various fields of application, the techniques and the conventions of that discipline."
Design graphique VI,HUM-407(b),"Practical teaching that allows to acquire the bases of graphic design and to understand the stakes, the various fields of application, the techniques and the conventions of that discipline."
Design industriel I,HUM-206,The course consists in practical teaching that allows acquiring the bases of industrial design by confronting students with the creation of an object.
Design industriel II,HUM-225,The course consists in practical teaching that allows acquiring the bases of industrial design by confronting the students with the creation of an object.
Design industriel III,HUM-306,Practical teaching that allows acquiring the bases of industrial design by confronting the students with the creation of an object. 
Design industriel IV,HUM-327,Practical teaching that allows acquiring the bases of industrial design by confronting the students with the creation of an object.
Design industriel V,HUM-408(a),This course offers practical teaching that allows acquiring the bases of industrial design by confronting the students with the creation of an object. The results in a functional prototype made in collaboration with an artisan or a local company.
Design industriel VI,HUM-408(b),This course offers practical teaching that allows acquiring the bases of industrial design by confronting the students with the creation of an object. The results in a functional prototype made in collaboration with an artisan or a local company.
Design project,ENV-596,"Apply acquired knowledge in a project proposed by environmental offices considering the aspects of environmental impact, ethic, feasibility,  as well as operation and maintenance option."
Design technologies for integrated systems,CS-472,"Hardware compilation is the process of transforming specialized hardware description languages into circuit descriptions, which are iteratively refined, detailed and optimized.  The course  presents algorithms, tools and methods for hardware compilation and logic synthesis. "
Development engineering,ENV-470,"This course teaches the fundamentals of technologies for development (Development Engineering) to design, pilot, and evaluate appropriate, affordable and robust technologies to address sustainable development challenges (e.g. poverty, environmental degradation) in emerging and developing countries."
DÈveloppement durable A,HUM-226,"This course offers a structured overview of the historical origins of the notion of sustainable development, its shifting contents, and its current implications: Green Economy, green growth, de-growth, permaculture, etc."
DÈveloppements en Èconomie des transports,CIVIL-456,   The course aims at making the students acquainted with the main mechanisms needed to understand the transport system from an economic point of view and to solve problems in this field.
"Diagnostic en ENAC, dÈmarche et outils de mesure",PENS-203,"As part of the teachings of Faculty, to the address of students of the 3 sections AR, GC and SIE, a multidisciplinary week on practical aspects of the measure in the specific areas of the ENAC is proposed."
Didactique des mathÈmatiques,HEP-407,This module introduces the basics of mathematics education . Work on the analysis of tasks and the preparation of lessons allows a connection with the placement.
Didactique des mathÈmatiques au secondaire II,HEP-403,
Dielectric properties of materials,MSE-480,"Students learn about response of electrically insulating materials to electrical and mechanical fields. The emphasis is on effect of various types of defects on properties, on crystal structure/microstructure - property relations, and on ways how to engineer properties of materials for applications."
Differential geometry of framed curves,MATH-423,"The Differential Geometry of curves, tubes & ribbons"
Difficult Double Double Histories,AR-522,"Lectures whose format couples one architect and his reference in the production of the past, starting from the basic assumption that architecture is not about inventions but more about intentions. These stories will inevitably create an alternative history, an accumulated set of cultural knowledge."
Diffraction methods in structural biology,PHYS-437,Give the student a solid background in protein crystallography and electron microscopy. Explain relevant aspects of 3D Fourier analysis and geometrical interpretation of diffraction. Discuss limitations of models obtained by X-ray crystallography and electron microscopy.  
Digital 3D Geometry Processing,CS-446,"Students study & apply core concepts and algorithms for digital geometry processing & 3D content creation. They create their own digital and physical geometry in a group project that follows the digital 3D content creation pipeline from data acquisition, geometry processing, to physical fabrication."
Digital culture,DH-402,The goal is to make students think culturally (including politically) the various technical patterns of digital systems and of quantification processes to make them aware of the traditions of social sciences when dealing with datasets in order to question them and to avoid any algorithmic positivism
Digital education & learning analytics,CS-411,This course addresses the relationship between specific technological features and the learners' cognitive processes. It also covers the methods and results of empirical studies on this topic: do student actually learn due to technologies?
Digitisation and visualisation,DH-404,
Discrete mathematics,MATH-260,"Study of structures and concepts that do not require the notion of continuity. Graph theory, or study of general countable sets are some of the areas that are covered by discrete mathematics. Emphasis will be laid on structures that the students will see again in their later studies."
Discrete optimization,MATH-261,"This course is an introduction to linear and discrete optimization. We will discuss linear programming and combinatorial optimization problems like bipartite matchings, shortest paths and flows. Warning: This course is for mathematicians! Strong emphasis is put on formal mathematical proofs.  "
Discriminations et marchÈ du travail,HUM-334(a),"This course addresses the problem of inequalities and discrimination across activities and occupations on the labour market. It aims at identifying the evolution of the labour market, its institutional actors, and the policies devised to combat inequalities and discriminations."
Dispositifs micro- nanoÈlectroniques,EE-333,"This lecture introduces the main principles, modeling and operation of semiconductor devices with main emphasis on major transistor concepts: bipolar, MOSFET (bulk, SOI, 3D) and new merging architectures (Tunnel FETs). Their main figuers of merit and the technological implementation are discussed."
Distributed algorithms,CS-451,"Computing is often distributed over several machines, in a local IP-like network, a cloud or in a P2P network.  Failures are common and computations need to proceed despite partial failures of machines or communication links. The foundations of reliable distributed computing will be studied."
Distributed information systems,CS-423,"This course introduces in detail several key technologies underlying today's distributed information systems, including Web data management, information retrieval and data mining."
Distributed intelligent systems,ENG-466,The goal of this course is to provide methods and tools for modeling distributed intelligent systems as well as designing and optimizing coordination strategies. The course is a well-balanced mixture of theory and laboratory exercises using simulation and real hardware platforms.
Distribution de l'Ènergie Èlectrique,EE-371,The course aims at providing the elements related to the design and operation of distribution electrical systems (medium and low voltage) taking also into account the presence of embedded power generation.
Droit : contrats et responsabilitÈ professionnelle,ENV-466,"At the end of this class, the students will be able to analyze from the angle of private law the majority of the typical situations of their future professional practice. They will be capable of organizing and managing it, resorting to judicial advice where necessary."
"Droit de l'architecte, approfondissements : la rÈalisation d'une construction",ENG-484,The subject of this class is the study of complementary knowledge of construction law and the advanced analyse of construction law through practical cases. Furthermore it familiarizes the students to legal reasoning and methods.
"Droit de l'architecte, introduction : contrats et concours",ENG-383,The subject of this class is the study of the elementary knowledge of private and public construction law and the awareness of concrete problems linked to the practice of the profession of architect.
Droit de la recherche technologique,HUM-307,"At the junction between law and ethics, this course aims at providing basic knowledge about the legal framework of technological research. Students will acquire a global and practical vision of the subject matter, as well as fundamental know-how useful in the professional world. "
Droit des affaires,HUM-234,This course provides legal tools for the analysis of concrete economic situations and the identification of relevant rules from a business perspective.
Droit et technique I,HUM-410(a),"This course will present the legal frame applicable to specific technical issues in various fields, among which computer science, ecology, genetics and construction."
Droit et technique II,HUM-410(b),"This course will present the legal frame applicable to specific technical issues in various fields, among which computer science, ecology, genetics and construction."
"D. Thinking: real problems, human-focused solutions",MGT-409,The purpose of this course is to engage students into multidisciplinary collaboration to tackle real world problems with a human centered approach.
Du relevÈ numÈrique ‡ la mesure du changement,PENS-303,"The faculty ENAC proposes to the students of the 3 sections a serie of interdisciplinary topics. For this teaching unit, students will analyse a specific problem through a multidisciplinary approach with a particular focus on the context, the quantification and the representation of phenomena."
Dynamical system theory for engineers,COM-502,"Linear and nonlinear dynamical systems are found in all fields of science and engineering. After a quite thorough review of linear system theory, the class will explain and develop the main tools for the qualitative analysis of nonlinear systems, both in discrete-time and continuous-time."
Dynamique des structures,CIVIL-420,Develop capabilities to determine natural frequencies of vibrating structures as well as resultant stresses and movements.
Dynamique des systËmes mÈcaniques,ME-311,This course introduces kinematic and dynamic effects of complex mechanical systems and introduces the basics for understanding and modeling them. The student will be able to model dynamic effects and select the appropriate models.
Dynamique molÈculaire et simulation Monte-Carlo,CH-351,Introduction to molecular dynamics and Monte-Carlo simulation methods.
Dynamique numÈrique des solides et des structures,ME-473,"The student gets acquainted with the most commonly used computational methods in structural dynamics (the finite element method, mode extraction methods, the finite difference method). He will also learn how to use these techniques for solving the problems faced in practice."
Dynamiques spatiales et acteurs du territoire,AR-351,Territorial development is a politic action. The accelerated urban sprawl requires new questions to be asked. Scientists  and urbanists need to understand dynamics which transform space and the relations between territorial actors.
Early detection of innovation potential,MGT-500,"The course aims at providing knowledge and competences for the strategic management of innovation, by developing methodological capabilities for the early detection of both risks and opportunities linked with innovation dynamics, in the short and medium term, with all the necessary follow-up steps  "
Eco-friendly production and process intensification,ChE-408,"Chemical and engineering metrics are introduced to assess sustainability & ecology of chemical processes. Innovative design principles are presented allowing the design of intensified chemical production leading to waste reduction, increased reactor safety and high product quality.  "
Ecologie de la connaissance,HUM-245(a),"This course is about innovation: conditions, procedures and impact of innovation. Our approach is integrative; in other words, we will not only deal with business innovation. We will also discuss social innovation and the role of innovation to address great challenges."
Ecologie gÈnÈrale,ENV-220,"Fundamental concepts and general understanding of processes, phenomenon, challenges in ecological science and ecological engineering, with a perspective of a global approach of environment. What is the role of ecology in environmental engineering sciences and sustainable use of ressources?"
Ecologie numÈrique,ENV-521,"Introduction to multivariate data analysis and modelling. The course helps for a critical choice of methods and their integration in a research planning. It prepares for complexe data analysis in various fields of environemental sciences. Use of dedicated R libraries"
Eco-morphologie fluviale,ENV-418,The course treats the important interaction between river morphology and habitat diversity. The regime theory describing the different morphology which a river takes under complete freedom is presented. Evaluation of habitat quality before and after restoration is discussed. 
Econometrics,FIN-403,The course covers basic econometric models and methods that are routinely applied to obtain inference results.
Economics of innovation,MGT-501,"The class gives an overview of innovation economics and management. The class covers the sources and types of innovation, its diffusion, intellectual property and national innovation systems. Finally, it explores the influence of these dimensions on firm strategy and national policy."
Economics of innovation in the biomedical industry,MGT-403,"This course uses the basics of microeconomic theory to address and develop the main economic issues about innovation in the biomedical sector (competition, monopoly and price formation, productivity crisis, knowledge access, neglected diseases, geography of innovation)"
Economics of innovation & management in energy,MGT-407,"This course explores the theoretical and empirical perspectives on individual and industrial demand, supply, public policies including (de)regulation and management, in the energy sectors (oil, natural gas and electricity)."
